#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC03928.JPG	24.3537171164	124.1368342086	149.7997436523	
DSC03929.JPG	24.3538544561	124.1362840760	150.6449890137	
DSC03930.JPG	24.3540677377	124.1357525179	150.5843505859	
DSC03931.JPG	24.3542387324	124.1351814299	149.6270904541	
DSC03932.JPG	24.3544371989	124.1345838337	150.1860656738	
DSC03933.JPG	24.3546305644	124.1340064662	151.5613098145	
DSC03934.JPG	24.3548201812	124.1334188788	153.9436035156	
DSC03935.JPG	24.3549899483	124.1329075474	156.0792999268	
DSC03936.JPG	24.3551679189	124.1323747880	155.3065948486	
DSC03937.JPG	24.3553546515	124.1318426170	155.0979919434	
DSC03938.JPG	24.3555314059	124.1312957038	152.4412536621	
DSC03939.JPG	24.3556990802	124.1307335595	151.7909393311	
DSC03940.JPG	24.3562119686	124.1312215182	150.7544708252	
DSC03941.JPG	24.3560917287	124.1315428995	151.9875335693	
DSC03942.JPG	24.3559821084	124.1318360015	151.3598022461	
DSC03943.JPG	24.3559060943	124.1321613283	151.1923675537	
DSC03944.JPG	24.3558015852	124.1324809384	152.9081268311	
DSC03945.JPG	24.3556707607	124.1328207723	151.5533447266	
DSC03946.JPG	24.3555135634	124.1331757464	155.6723937988	
DSC03947.JPG	24.3554354226	124.1334705531	153.6186218262	
DSC03948.JPG	24.3553718743	124.1337588595	152.2649841309	
DSC03949.JPG	24.3552519029	124.1340198612	149.7767486572	
DSC03950.JPG	24.3551818408	124.1343240234	150.8157196045	
DSC03951.JPG	24.3550765996	124.1346300683	150.8716735840	
DSC03952.JPG	24.3549546060	124.1349448539	149.3170318604	
DSC03953.JPG	24.3548669377	124.1352975227	150.9679565430	
DSC03954.JPG	24.3547695940	124.1356152021	152.2761230469	
DSC03955.JPG	24.3546621019	124.1358909157	152.3132324219	
DSC03956.JPG	24.3545654602	124.1361659212	149.3246307373	
DSC03957.JPG	24.3544847108	124.1364567929	148.5756835938	
DSC03958.JPG	24.3543606843	124.1367666689	148.8877105713	
DSC03959.JPG	24.3542779955	124.1370942013	148.7762756348	
DSC03960.JPG	24.3541607323	124.1374135714	148.6599884033	
DSC03961.JPG	24.3547849596	124.1372934489	149.7882080078	
DSC03962.JPG	24.3550002576	124.1367488982	150.0157470703	
DSC03963.JPG	24.3551900773	124.1361751284	152.1766815186	
DSC03964.JPG	24.3553730947	124.1356247373	151.5002899170	
DSC03965.JPG	24.3555493352	124.1350742945	151.4066925049	
DSC03966.JPG	24.3557300434	124.1345287288	151.3409423828	
DSC03967.JPG	24.3559182543	124.1339798081	150.9315185547	
DSC03968.JPG	24.3560868302	124.1334066361	151.0637969971	
DSC03969.JPG	24.3562908337	124.1328614675	149.8358917236	
DSC03970.JPG	24.3564683195	124.1322799328	149.1607208252	
DSC03971.JPG	24.3566525814	124.1317222349	149.2875671387	
DSC03972.JPG	24.3568596792	124.1311262106	151.4615631104	
DSC03973.JPG	24.3573399041	124.1316771585	150.5165252686	
DSC03974.JPG	24.3572125153	124.1319803380	152.7019348145	
DSC03975.JPG	24.3570887825	124.1322781568	154.0045166016	
DSC03976.JPG	24.3570281802	124.1325895977	153.9042053223	
DSC03977.JPG	24.3569262456	124.1328763180	153.7817230225	
DSC03978.JPG	24.3568117554	124.1332302462	154.4842224121	
DSC03979.JPG	24.3567074795	124.1335476361	155.9498291016	
DSC03980.JPG	24.3565738790	124.1338171681	152.4946289062	
DSC03981.JPG	24.3565022486	124.1341412870	152.0225677490	
DSC03982.JPG	24.3564389923	124.1344330421	152.9873199463	
DSC03983.JPG	24.3563326568	124.1347076845	151.8113555908	
DSC03984.JPG	24.3562334083	124.1350032064	151.3163452148	
DSC03985.JPG	24.3561435523	124.1353040655	151.6023101807	
DSC03986.JPG	24.3560525559	124.1356161864	150.7223205566	
DSC03987.JPG	24.3559410413	124.1359051457	151.0581054688	
DSC03988.JPG	24.3558416177	124.1362113283	151.2926483154	
DSC03989.JPG	24.3557009083	124.1365316997	151.2569580078	
DSC03990.JPG	24.3555885237	124.1368663038	151.4717407227	
DSC03991.JPG	24.3554875785	124.1372035793	151.6435394287	
DSC03992.JPG	24.3553723358	124.1375111865	153.2328338623	
DSC03993.JPG	24.3552736093	124.1378006242	151.5441741943	
DSC03994.JPG	24.3552417481	124.1381049778	150.1115722656	
DSC03995.JPG	24.3559375737	124.1377328398	148.8801727295	
DSC03996.JPG	24.3561302773	124.1371771405	149.3923492432	
DSC03997.JPG	24.3563169070	124.1366129425	149.0382232666	
DSC03998.JPG	24.3564990977	124.1360275788	149.2099304199	
DSC03999.JPG	24.3567091253	124.1354574015	151.7271423340	
DSC04000.JPG	24.3568939746	124.1348714537	152.9700927734	
DSC04001.JPG	24.3570906048	124.1342967314	152.5034484863	
DSC04002.JPG	24.3572657458	124.1337094462	150.9766235352	
DSC04003.JPG	24.3574567061	124.1331198695	151.0083007812	
DSC04004.JPG	24.3576624565	124.1325435529	150.6316986084	
DSC04005.JPG	24.3578461301	124.1319247457	150.1154174805	
DSC04006.JPG	24.3583420109	124.1315306723	150.6071929932	
DSC04007.JPG	24.3582363022	124.1318392472	152.0433654785	
DSC04008.JPG	24.3580967919	124.1321572927	152.3503417969	
DSC04009.JPG	24.3580258613	124.1324708765	153.0248870850	
DSC04010.JPG	24.3579404671	124.1327686744	153.6077880859	
DSC04011.JPG	24.3578114780	124.1330479212	152.9309997559	
DSC04012.JPG	24.3577213101	124.1333607853	153.3715820312	
DSC04013.JPG	24.3576060332	124.1336744938	151.7969207764	
DSC04014.JPG	24.3574962587	124.1339854542	153.5546112061	
DSC04015.JPG	24.3574180411	124.1342820318	152.5915374756	
DSC04016.JPG	24.3573363347	124.1345861623	152.7423706055	
DSC04017.JPG	24.3572258019	124.1348806627	151.5297546387	
DSC04018.JPG	24.3571070014	124.1351946907	151.0420379639	
DSC04019.JPG	24.3569865735	124.1355268883	150.7475280762	
DSC04020.JPG	24.3568992820	124.1358472979	151.3155059814	
DSC04021.JPG	24.3567749016	124.1361387559	151.8780822754	
DSC04022.JPG	24.3566937177	124.1364489952	152.1602935791	
DSC04023.JPG	24.3566123503	124.1367753204	152.3355865479	
DSC04024.JPG	24.3564928022	124.1370890582	150.7797546387	
DSC04025.JPG	24.3563845163	124.1374090636	149.9324493408	
DSC04026.JPG	24.3563037675	124.1377291546	150.2141265869	
DSC04027.JPG	24.3561906041	124.1380329007	151.8320312500	
DSC04028.JPG	24.3560747389	124.1383276685	151.9918975830	
DSC04029.JPG	24.3556892495	124.1375850630	147.4457702637	
DSC04030.JPG	24.3558830769	124.1369749937	149.8903656006	
DSC04031.JPG	24.3560836623	124.1363923898	150.6279907227	
DSC04032.JPG	24.3562715643	124.1358113302	149.8650054932	
DSC04033.JPG	24.3564455785	124.1352300101	149.6667327881	
DSC04034.JPG	24.3566332141	124.1346781489	150.1472930908	
DSC04035.JPG	24.3568147074	124.1341309904	150.5612945557	
DSC04036.JPG	24.3570087204	124.1335712915	150.3539733887	
DSC04037.JPG	24.3571746210	124.1329960251	151.7447357178	
DSC04038.JPG	24.3573603429	124.1324446379	153.3103332520	
DSC04039.JPG	24.3575484184	124.1319048509	153.6702728271	
DSC04040.JPG	24.3577249639	124.1313632353	152.6741027832	
DSC04041.JPG	24.3569956760	124.1315938915	151.6388702393	
DSC04042.JPG	24.3568826661	124.1319208880	151.2116241455	
DSC04043.JPG	24.3567976712	124.1322340422	149.9825897217	
DSC04044.JPG	24.3567164924	124.1325494296	150.4010620117	
DSC04045.JPG	24.3566324697	124.1328814675	150.8737182617	
DSC04046.JPG	24.3564990981	124.1332212746	151.8413848877	
DSC04047.JPG	24.3563727404	124.1335518885	152.8798217773	
DSC04048.JPG	24.3562684147	124.1338581494	151.4023284912	
DSC04049.JPG	24.3561980277	124.1341745701	150.7448883057	
DSC04050.JPG	24.3560759792	124.1344988924	150.9020690918	
DSC04051.JPG	24.3559588359	124.1348016790	151.0408172607	
DSC04052.JPG	24.3558765399	124.1351059373	150.0444946289	
DSC04053.JPG	24.3557674971	124.1354100302	149.9742126465	
DSC04054.JPG	24.3556844721	124.1357065135	150.1868591309	
DSC04055.JPG	24.3555728562	124.1360232376	150.4083404541	
DSC04056.JPG	24.3554544751	124.1363395439	151.2734222412	
DSC04057.JPG	24.3553884943	124.1366327931	151.8042755127	
DSC04058.JPG	24.3552448185	124.1369489750	152.3829498291	
DSC04059.JPG	24.3551576324	124.1373147875	152.3201904297	
DSC04060.JPG	24.3550373194	124.1376481698	156.5120391846	
DSC04061.JPG	24.3549053038	124.1379117383	155.2065582275	
DSC04062.JPG	24.3545515392	124.1371564286	149.7827453613	
DSC04063.JPG	24.3547405793	124.1365691900	151.9326934814	
DSC04064.JPG	24.3549393087	124.1359797930	153.7438507080	
DSC04065.JPG	24.3551193427	124.1354122751	151.7034606934	
DSC04066.JPG	24.3553155051	124.1348285846	152.9843139648	
DSC04067.JPG	24.3554940057	124.1342782321	150.5199279785	
DSC04068.JPG	24.3556788708	124.1337146280	149.8523712158	
DSC04069.JPG	24.3558687726	124.1331513183	152.1504211426	
DSC04070.JPG	24.3560708873	124.1326017534	151.0635070801	
DSC04071.JPG	24.3562195632	124.1320041576	152.6385650635	
DSC04072.JPG	24.3564262473	124.1314723529	151.0403289795	
DSC04073.JPG	24.3565954888	124.1308962897	152.4432525635	
DSC04074.JPG	24.3558764538	124.1311704951	151.4143371582	
DSC04075.JPG	24.3557748371	124.1314828975	152.0827331543	
DSC04076.JPG	24.3557071742	124.1318042150	153.8092041016	
DSC04077.JPG	24.3556011738	124.1320773807	151.0741577148	
DSC04078.JPG	24.3554537493	124.1323436870	150.7634277344	
DSC04079.JPG	24.3554036045	124.1326543891	149.2964172363	
DSC04080.JPG	24.3553271254	124.1329711048	150.3649749756	
DSC04081.JPG	24.3552089019	124.1332601561	152.4181060791	
DSC04082.JPG	24.3551070537	124.1335536699	150.6258087158	
DSC04083.JPG	24.3550387388	124.1338551999	151.5032501221	
DSC04084.JPG	24.3549057156	124.1341761814	151.2662963867	
DSC04085.JPG	24.3547992012	124.1345205162	150.8650360107	
DSC04086.JPG	24.3546915327	124.1348386129	151.1799011230	
DSC04087.JPG	24.3545558926	124.1351813586	152.9070281982	
DSC04088.JPG	24.3544500779	124.1355212887	152.5168914795	
DSC04089.JPG	24.3543375551	124.1358656996	154.4299621582	
DSC04090.JPG	24.3542598640	124.1361492045	154.5851287842	
DSC04091.JPG	24.3541673153	124.1364116889	152.7137145996	
DSC04092.JPG	24.3540624183	124.1367286433	152.8489532471	
DSC04093.JPG	24.3539731212	124.1370555935	150.9390106201	
DSC04094.JPG	24.3538604995	124.1373967339	150.8729095459	
